Identifier,Gender,1a_grit_localtravel,1b_grit_localtravel,2a_grit_errands,2b_grit_errands,3a_grit_publicspeaking,3b_grit_publicspeaking,4a_grit_discussion,4b_grit_discussion,5a_grit_persevered,5b_grit_persevered,6a_tnt_extraleadership,6b_tnt_extraleadership,7a_tnt_newskill,7b_tnt_newskill,8a_tnt_helpingothers,8b_tnt_helpingothers,9a_tnt_risktaking,9b_tnt_risktaking,10a_tnt_project,10a_tnt_project_example,10b_tnt_project,11a_sa_feedback,11b_sa_feedback,12a_sa_helpseeking,12b_sa_helpseeking,13a_sa_values,13b_sa_values,14a_sa_emotions,14b_sa_emotions,15a_sa_influence,15b_sa_influence,16a_ind_doingthingsalone,16b_sa_doingthingsalone,17a_ind_againstnorm,17b_ind_againstnorm,18a_ind_reflection,18b_ind_reflection,19a_ind_questioning,19b_ind_questioning,20a_ind_informeddecision,20b_ind_informeddecision
1,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Police,,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
2,Female,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(a)Did not need to,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,(a) yes,Waste paper tho appa new paper bna skde aa,,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,(d) no,(a)Did not need to,"(a)yes, many times",
3,Female,(d)no,(a)Did not need to,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Bb blaster,,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(b)yes, sometimes",,"(b)yes, sometimes",
4,Female,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(d)Was not allowed (by family / caregiver / teacher),(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(a)yes, many times",
5,Female,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,"(c)Wanted to, but did not have the opportunity","(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(c)yes, once or twice",,"(a)yes, many times",
6,Female,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,Teacher,,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
7,Female,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(a) yes,No,,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",
8,Male,"(b)yes, sometimes",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(d)Was not allowed (by family / caregiver / teacher),(d) no,(a)Did not need to,"(c)yes, once or twice",,"(b)yes, sometimes",,(d) no,"(c)Wanted to, but did not have the opportunity",(d) no,"(c)Wanted to, but did not have the opportunity","(b)yes, sometimes",,"(b)yes, sometimes",,(d) no,(b)Did not want to,"(a)yes, many times",,"(a)yes, many times",
9,Male,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,"(c)yes, once or twice",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(a)yes, many times",,"(a)yes, many times",,(b)no,,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(b)yes, sometimes",,"(c)yes, once or twice",,(d) no,(b)Did not want to,"(a)yes, many times",
10,Male,"(b)yes, sometimes",,"(a)yes, many times",,(d) no,"(c)Wanted to, but did not have the opportunity","(c)yes, once or twice",,"(a)yes, many times",,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(c)yes, once or twice",,(b)no,,(a)Did not need to,(d) no,(a)Did not need to,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,"(a)yes, many times",,(d) no,(b)Did not want to,(d) no,(a)Did not need to,"(a)yes, many times",
